# z rho/M
-71.0713 0
-70.5713 0
-70.0713 0
-69.5713 0
-69.0713 0
-68.5713 0
-68.0713 0
-67.5713 0
-67.0713 0
-66.5713 0
-66.0713 0
-65.5713 0
-65.0713 0
-64.5713 0
-64.0713 0
-63.5713 0
-63.0713 0
-62.5713 0
-62.0713 0
-61.5713 0
-61.0713 0
-60.5713 0
-60.0713 0
-59.5713 0
-59.0713 0
-58.5713 0
-58.0713 0
-57.5713 0
-57.0713 0
-56.5713 0
-56.0713 0
-55.5713 0
-55.0713 0
-54.5713 0
-54.0713 0
-53.5713 0
-53.0713 0
-52.5713 0
-52.0713 0
-51.5713 0
-51.0713 0
-50.5713 0
-50.0713 0
-49.5713 0
-49.0713 0
-48.5713 0
-48.0713 0
-47.5713 0
-47.0713 0
-46.5713 0
-46.0713 0
-45.5713 0
-45.0713 0
-44.5713 0
-44.0713 0
-43.5713 0
-43.0713 0
-42.5713 0
-42.0713 0
-41.5713 0
-41.0713 0
-40.5713 0
-40.0713 0
-39.5713 0
-39.0713 0
-38.5713 0
-38.0713 0
-37.5713 0
-37.0713 0
-36.5713 0
-36.0713 0
-35.5713 0
-35.0713 0
-34.5713 0
-34.0713 0
-33.5713 0
-33.0713 0
-32.5713 0
-32.0713 0.000540393
-31.5713 0.00162118
-31.0713 0.00243177
-30.5713 0.00297216
-30.0713 0.0110781
-29.5713 0.0210753
-29.0713 0.0372871
-28.5713 0.0724127
-28.0713 0.133477
-27.5713 0.225884
-27.0713 0.363144
-26.5713 0.584705
-26.0713 0.853011
-25.5713 1.18508
-25.0713 1.57335
-24.5713 1.92542
-24.0713 2.2048
-23.5713 2.3399
-23.0713 2.44798
-22.5713 2.37233
-22.0713 2.31748
-21.5713 2.30802
-21.0713 2.31829
-20.5713 2.33882
-20.0713 2.40502
-19.5713 2.40151
-19.0713 2.21723
-18.5713 1.99837
-18.0713 1.67522
-17.5713 1.29559
-17.0713 0.96217
-16.5713 0.666575
-16.0713 0.424479
-15.5713 0.276411
-15.0713 0.172385
-14.5713 0.0951092
-14.0713 0.0475546
-13.5713 0.0226965
-13.0713 0.0148608
-12.5713 0.00702511
-12.0713 0.00135098
-11.5713 0.00135098
-11.0713 0.000270197
-10.5713 0.000270197
-10.0713 0
-9.57132 0.000270197
-9.07132 0
-8.57132 0
-8.07132 0
-7.57132 0
-7.07132 0
-6.57132 0
-6.07132 0
-5.57132 0
-5.07132 0
-4.57132 0
-4.07132 0
-3.57132 0
-3.07132 0
-2.57132 0
-2.07132 0
-1.57132 0
-1.07132 0
-0.571322 0
-0.071322 0
0.428678 0
0.928678 0
1.42868 0
1.92868 0
2.42868 0
2.92868 0
3.42868 0
3.92868 0
4.42868 0
4.92868 0
5.42868 0
5.92868 0
6.42868 0
6.92868 0
7.42868 0
7.92868 0
8.42868 0
8.92868 0
9.42868 0
9.92868 0
10.4287 0
10.9287 0.00108079
11.4287 0.00162118
11.9287 0.00324236
12.4287 0.00486354
12.9287 0.015131
13.4287 0.0224263
13.9287 0.0418805
14.4287 0.0907861
14.9287 0.156174
15.4287 0.286679
15.9287 0.421237
16.4287 0.643608
16.9287 0.94758
17.4287 1.31262
17.9287 1.69521
18.4287 2.01161
18.9287 2.26128
19.4287 2.38286
19.9287 2.39421
20.4287 2.3345
20.9287 2.29667
21.4287 2.33963
21.9287 2.31586
22.4287 2.39421
22.9287 2.41745
23.4287 2.36719
23.9287 2.18508
24.4287 1.88408
24.9287 1.54985
25.4287 1.18887
25.9287 0.878139
26.4287 0.59119
26.9287 0.372061
27.4287 0.238854
27.9287 0.1378
28.4287 0.0651174
28.9287 0.0389083
29.4287 0.0205349
29.9287 0.0081059
30.4287 0.00351256
30.9287 0.00297216
31.4287 0.00135098
31.9287 0.000270197
32.4287 0.000270197
32.9287 0.000270197
33.4287 0
33.9287 0
34.4287 0
34.9287 0
35.4287 0
35.9287 0
36.4287 0
36.9287 0
37.4287 0
37.9287 0
38.4287 0
38.9287 0
39.4287 0
39.9287 0
40.4287 0
40.9287 0
41.4287 0
41.9287 0
42.4287 0
42.9287 0
43.4287 0
43.9287 0
44.4287 0
44.9287 0
45.4287 0
45.9287 0
46.4287 0
46.9287 0
47.4287 0
47.9287 0
48.4287 0
48.9287 0
49.4287 0
49.9287 0
50.4287 0
50.9287 0
51.4287 0
51.9287 0
52.4287 0
52.9287 0
53.4287 0
53.9287 0
54.4287 0
54.9287 0
55.4287 0
55.9287 0
56.4287 0
56.9287 0
57.4287 0
57.9287 0
58.4287 0
58.9287 0
59.4287 0
59.9287 0
60.4287 0
60.9287 0
61.4287 0
61.9287 0
62.4287 0
62.9287 0
63.4287 0
63.9287 0
64.4287 0
64.9287 0
65.4287 0
65.9287 0
66.4287 0
66.9287 0
67.4287 0
67.9287 0
68.4287 0
68.9287 0
69.4287 0
69.9287 0
70.4287 0
70.9287 0
