q (nm-1);I(q);SEM
0.4983;12.3546;0.6021
0.5125;17.8422;3.0135
0.5268;26.092;7.0963
0.541;40.0884;14.4613
0.5552;49.4323;17.7109
0.5695;47.1402;10.9702
0.5837;36.8491;5.4017
0.5979;27.2892;2.7673
0.6122;22.9806;1.4213
0.6264;22.0244;0.8887
0.6406;22.5;0.7244
0.6549;23.6397;0.6275
0.6691;25.1275;0.6641
0.6834;26.9915;0.7441
0.6976;29.2265;0.8521
0.7118;31.8622;0.9841
0.7261;34.9546;1.1422
0.7403;38.5854;1.3316
0.7545;42.8659;1.5609
0.7688;47.9454;1.8422
0.783;54.0241;2.1924
0.7972;61.3729;2.6353
0.8115;70.3651;3.2058
0.8257;81.5238;3.955
0.8399;95.601;4.9612
0.8542;113.7081;6.3478
0.8684;137.5426;8.3173
0.8827;169.8016;11.2172
0.8969;214.9797;15.6792
0.9111;281.0191;22.9309
0.9254;383.0263;35.5767
0.9396;553.0367;60.024
0.9538;875.3106;117.7997
0.9681;1626.8184;289.2463
0.9823;3536.5515;715.179
0.9965;6756.526;1030.0066
1.0108;7995.602;820.8312
1.025;5803.444;767.4127
1.0392;3438.5;857.1811
1.0535;1754.1874;476.2841
1.0677;931.2435;184.464
1.082;581.8565;81.3615
1.0962;414.7338;45.2591
1.1104;328.1821;29.4459
1.1247;300.4517;22.7299
1.1389;359.7959;29.4779
1.1531;530.2437;55.7581
1.1674;529.6155;84.1754
1.1816;313.0979;60.2431
1.1958;177.0899;26.8881
1.2101;120.2763;13.1581
1.2243;93.5703;7.8408
1.2385;77.0034;5.3261
1.2528;65.4839;3.8246
1.267;57.347;3.0784
1.2812;51.0053;2.403
1.2955;46.0494;1.9319
1.3097;42.186;1.5848
1.324;39.0226;1.3177
1.3382;36.4512;1.1134
1.3524;34.4887;1.0059
1.3667;32.9112;0.8885
1.3809;31.7609;0.807
1.3951;31.0377;0.7626
1.4094;30.7653;0.7545
1.4236;31.0452;0.7935
1.4378;32.2177;0.8899
1.4521;34.4775;1.1328
1.4663;39.5906;1.7827
1.4805;51.2171;4.1673
1.4948;76.1151;9.5344
1.509;113.7163;15.3009
1.5232;143.6117;21.3912
1.5375;117.6363;17.6849
1.5517;73.7573;10.8299
1.5659;52.7106;5.9573
1.5802;49.4543;4.4341
1.5944;52.9474;4.374
1.6086;61.0135;4.9486
1.6229;72.3914;6.6538
1.6371;88.7719;9.8823
1.6513;114.9298;15.0214
1.6656;158.2508;24.344
1.6798;238.1389;45.2045
1.694;414.0526;104.5205
1.7083;830.8943;252.5344
1.7225;1530.3222;381.0291
1.7367;2142.714;419.539
1.751;2181.7598;379.802
1.7652;1630.1414;310.4375
1.7794;1070.9667;243.0143
1.7937;795.858;268.049
1.8079;585.9354;207.1443
1.8221;454.4795;77.3463
1.8364;435.7571;50.995
1.8506;381.3228;61.8457
1.8648;294.8549;71.0737
1.8791;234.5157;85.4037
1.8933;161.0253;46.7876
1.9075;124.9788;21.0636
1.9218;119.5454;11.8589
1.936;131.6526;9.4997
1.9502;169.9052;22.6969
1.9645;268.3238;63.4377
1.9787;493.5868;144.5113
1.9929;785.3773;187.0064
2.0072;1006.5361;203.0041
2.0214;1012.3049;194.8705
2.0356;785.0255;166.8658
2.0499;528.7735;108.4632
2.0641;429.736;101.9115
2.0783;444.0775;139.2277
2.0926;364.7022;75.7798
2.1068;259.1115;42.227
2.121;184.6111;42.3579
2.1353;145.8572;51.4029
2.1495;117.6763;55.3806
2.1637;74.2963;29.0564
2.178;49.3273;13.3638
2.1922;37.9545;7.499
2.2064;32.0059;5.2521
2.2206;27.0203;3.6367
2.2349;23.6149;2.5795
2.2491;21.992;1.9826
2.2633;21.1829;2.0066
2.2776;22.6285;2.1188
2.2918;30.1322;4.2319
2.306;48.0605;8.8123
2.3203;56.5157;7.3723
2.3345;43.3396;8.4772
2.3487;27.1235;7.2472
2.363;17.6012;3.8936
2.3772;14.5882;3.2992
2.3914;14.7814;4.082
2.4056;16.0599;3.967
2.4199;20.5572;4.0733
2.4341;27.5216;4.3117
2.4483;30.9669;4.2639
2.4626;25.4736;3.285
2.4768;20.6042;3.442
2.491;17.1376;2.9227
2.5053;17.1394;3.7716
2.5195;18.5425;4.9765
2.5337;15.5244;3.4399
2.548;12.8806;2.4071
2.5622;12.6933;2.877
2.5764;12.2491;2.1777
2.5906;14.7444;2.5569
2.6049;22.943;5.0127
2.6191;41.9817;10.4483
