r (nm);f(r)
0.36;0.9819
0.37;0.9903
0.38;0.9854
0.39;0.9815
0.4;0.9849
0.41;0.9959
0.42;0.9871
0.43;0.9837
0.44;0.9882
0.45;0.9842
0.46;0.9821
0.47;0.9815
0.48;0.9879
0.49;0.9762
0.5;0.9851
0.51;0.9903
0.52;0.9876
0.53;0.9825
0.54;0.9792
0.55;0.9728
0.56;0.9835
0.57;0.9799
0.58;0.9726
0.59;0.9809
0.6;0.9817
0.61;0.987
0.62;0.972
0.63;0.9793
0.64;0.9853
0.65;0.9736
0.66;0.9743
0.67;0.979
0.68;0.9777
0.69;0.9776
0.7;0.9829
0.71;0.9785
0.72;0.9728
0.73;0.9774
0.74;0.9745
0.75;0.9787
0.76;0.982
0.77;0.9781
0.78;0.9746
0.79;0.9793
0.8;0.9749
0.81;0.9746
0.82;0.9751
0.83;0.9709
0.84;0.9782
0.85;0.9756
0.86;0.9728
0.87;0.9734
0.88;0.9741
0.89;0.9683
0.9;0.9662
0.91;0.9702
0.92;0.9776
0.93;0.9753
0.94;0.9762
0.95;0.9749
0.96;0.9785
0.97;0.9757
0.98;0.9647
0.99;0.9689
1;0.973
1.01;0.9796
1.02;0.9745
1.03;0.9733
1.04;0.9732
1.05;0.9713
1.06;0.9708
1.07;0.9722
1.08;0.9739
1.09;0.9736
1.1;0.9667
1.11;0.9726
1.12;0.9721
1.13;0.9655
1.14;0.9721
1.15;0.9716
1.16;0.9737
1.17;0.9626
1.18;0.9702
1.19;0.9705
1.2;0.9743
1.21;0.9686
1.22;0.9636
1.23;0.9716
1.24;0.969
1.25;0.9666
1.26;0.9653
1.27;0.9724
1.28;0.9719
1.29;0.9717
1.3;0.9637
1.31;0.965
1.32;0.9677
1.33;0.9684
1.34;0.9647
1.35;0.9662
1.36;0.9694
1.37;0.9682
1.38;0.9726
1.39;0.9679
1.4;0.9623
1.41;0.9672
1.42;0.9685
1.43;0.9661
1.44;0.9668
1.45;0.9619
1.46;0.9703
1.47;0.9659
1.48;0.9651
1.49;0.9681
1.5;0.9548
1.51;0.9646
1.52;0.9616
1.53;0.9616
1.54;0.96
1.55;0.9618
1.56;0.9634
1.57;0.9624
1.58;0.9613
1.59;0.9608
1.6;0.9617
1.61;0.9624
1.62;0.9615
1.63;0.9595
1.64;0.9577
1.65;0.9568
1.66;0.96
1.67;0.9568
1.68;0.9542
1.69;0.9543
1.7;0.949
1.71;0.9521
1.72;0.9514
1.73;0.952
1.74;0.9494
1.75;0.9492
1.76;0.9494
1.77;0.944
1.78;0.9417
1.79;0.9413
1.8;0.9389
1.81;0.9365
1.82;0.9386
1.83;0.9293
1.84;0.9311
1.85;0.9279
1.86;0.928
1.87;0.9227
1.88;0.9213
1.89;0.9176
1.9;0.9173
1.91;0.9133
1.92;0.9085
1.93;0.9079
1.94;0.8997
1.95;0.8981
1.96;0.8957
1.97;0.8899
1.98;0.8872
1.99;0.8866
2;0.8758
2.01;0.8714
2.02;0.8654
2.03;0.8657
2.04;0.8625
2.05;0.8537
2.06;0.8462
2.07;0.8443
2.08;0.8364
2.09;0.8296
2.1;0.8251
2.11;0.8182
2.12;0.8168
2.13;0.809
2.14;0.7989
2.15;0.7941
2.16;0.7876
2.17;0.7813
2.18;0.7777
2.19;0.7678
2.2;0.7643
2.21;0.7546
2.22;0.7478
2.23;0.741
2.24;0.732
2.25;0.7273
2.26;0.719
2.27;0.7147
2.28;0.7059
2.29;0.6988
2.3;0.6907
2.31;0.6828
2.32;0.6735
2.33;0.6641
2.34;0.6592
2.35;0.6498
2.36;0.6423
2.37;0.6342
2.38;0.6238
