r (nm);f(r)
0.36;1.0108
0.37;1.0269
0.38;1.014
0.39;1.0166
0.4;1.0135
0.41;1.0187
0.42;1.0174
0.43;1.0178
0.44;1.016
0.45;1.0152
0.46;1.0191
0.47;1.0144
0.48;1.0133
0.49;1.0112
0.5;1.0106
0.51;1.0158
0.52;1.0061
0.53;1.0171
0.54;1.0126
0.55;1.0099
0.56;1.0152
0.57;1.0104
0.58;1.011
0.59;1.0052
0.6;1.0106
0.61;1.0064
0.62;1.0067
0.63;1.0117
0.64;1.0127
0.65;1.0002
0.66;1.0175
0.67;1.009
0.68;1.0083
0.69;1.0097
0.7;1.0075
0.71;1.0056
0.72;0.9975
0.73;1.0062
0.74;1.0067
0.75;0.9981
0.76;1.007
0.77;1.0062
0.78;1.0009
0.79;1.0095
0.8;1.0041
0.81;1.0044
0.82;1.0027
0.83;1.0053
0.84;1.0026
0.85;0.9958
0.86;1.0043
0.87;1.0014
0.88;1.0024
0.89;1.0059
0.9;0.9988
0.91;0.9976
0.92;1.0076
0.93;1.0041
0.94;1.0001
0.95;1.0063
0.96;0.998
0.97;1.0068
0.98;0.9959
0.99;1.0016
1;1.0012
1.01;1.0003
1.02;0.9895
1.03;1.0022
1.04;1.002
1.05;1.0004
1.06;0.9918
1.07;1.0008
1.08;0.9937
1.09;0.9966
1.1;0.9962
1.11;0.9981
1.12;0.9963
1.13;0.9966
1.14;0.9912
1.15;0.9924
1.16;0.9979
1.17;0.9963
1.18;0.9886
1.19;0.9902
1.2;0.9931
1.21;0.9955
1.22;0.9971
1.23;0.9938
1.24;0.9916
1.25;0.9901
1.26;0.9865
1.27;0.991
1.28;0.9886
1.29;0.9842
1.3;0.986
1.31;0.9765
1.32;0.9857
1.33;0.9772
1.34;0.9737
1.35;0.9775
1.36;0.9719
1.37;0.9728
1.38;0.9721
1.39;0.9654
1.4;0.9677
1.41;0.9617
1.42;0.9636
1.43;0.9585
1.44;0.9597
1.45;0.956
1.46;0.9539
1.47;0.9459
1.48;0.9452
1.49;0.9423
1.5;0.9338
1.51;0.9329
1.52;0.929
1.53;0.9262
1.54;0.9232
1.55;0.9222
1.56;0.9151
1.57;0.9083
1.58;0.9086
1.59;0.898
1.6;0.898
1.61;0.8838
1.62;0.8889
1.63;0.886
1.64;0.8787
1.65;0.8681
1.66;0.8697
1.67;0.8578
1.68;0.8557
1.69;0.847
1.7;0.8441
1.71;0.8398
1.72;0.8326
1.73;0.8238
1.74;0.8196
1.75;0.809
1.76;0.8018
1.77;0.8
1.78;0.7902
1.79;0.7833
1.8;0.7798
1.81;0.7702
1.82;0.7699
1.83;0.7574
1.84;0.7505
1.85;0.7449
1.86;0.7405
1.87;0.7332
1.88;0.7247
1.89;0.7203
1.9;0.7169
1.91;0.7116
1.92;0.7024
1.93;0.6978
1.94;0.6877
1.95;0.6853
1.96;0.6796
1.97;0.6741
1.98;0.6702
1.99;0.6583
2;0.6558
2.01;0.6532
2.02;0.6463
2.03;0.6408
2.04;0.637
2.05;0.6347
2.06;0.6236
2.07;0.6224
2.08;0.6167
2.09;0.6135
2.1;0.6051
2.11;0.6063
2.12;0.5967
2.13;0.5907
2.14;0.5841
2.15;0.5818
2.16;0.5778
2.17;0.568
2.18;0.5662
2.19;0.5596
2.2;0.5539
2.21;0.5475
2.22;0.542
2.23;0.5293
2.24;0.5235
2.25;0.5151
2.26;0.5111
2.27;0.5002
2.28;0.4975
2.29;0.4876
2.3;0.4775
2.31;0.4678
2.32;0.4578
2.33;0.4486
2.34;0.441
2.35;0.4299
2.36;0.4187
2.37;0.407
2.38;0.3983
2.39;0.3886
2.4;0.378
2.41;0.367
2.42;0.3533
2.43;0.3445
2.44;0.3305
2.45;0.32
2.46;0.3103
2.47;0.2974
2.48;0.2862
2.49;0.2755
2.5;0.2655
2.51;0.2555
2.52;0.2409
2.53;0.2307
2.54;0.2204
2.55;0.2106
2.56;0.2003
2.57;0.1909
2.58;0.1798
2.59;0.1698
2.6;0.1614
